source,target,value
5574,6106,608292700000.0
5574,6108,479436240000.0
5574,6257,459544900000.0
5574,6385,552707200000.0
5574,6386,658303900000.0
5574,6387,759886000000.0
5574,6388,729120500000.0
5574,6436,542102260000.0
5574,6873,805813200000.0
5574,6915,468307150000.0
5574,7033,530524500000.0
5574,7038,866474700000.0
5574,7086,495155020000.0
5574,7359,733515400000.0
5574,7360,728060850000.0
5574,7361,839226360000.0
5574,7362,503618470000.0
5574,7364,526324830000.0
5574,7365,543250060000.0
5574,7486,457278360000.0
5574,7490,482790000000.0
5574,7782,480909030000.0
5574,8006,812919160000.0
5574,8012,687932240000.0
5574,8013,520566570000.0
5574,8014,487635300000.0
5574,8017,463782180000.0
5574,8020,474185560000.0
5574,8108,491799740000.0
5574,8167,592718270000.0
5574,8198,623909400000.0
5574,8200,476539360000.0
5574,8271,897038500000.0
5574,8330,519266600000.0
5574,8332,1030962100000.0
5574,8334,602893200000.0
5574,8335,782987600000.0
5574,8337,1054429940000.0
5574,8338,1216199400000.0
5574,8339,1062333000000.0
5574,8340,874382900000.0
5574,8341,1025536900000.0
5574,8342,1639269800000.0
5574,8343,1059657600000.0
5574,8344,772954500000.0
5574,8345,673466350000.0
5574,8346,612157200000.0
5574,8361,556458970000.0
5574,8381,646526140000.0
5574,8384,905430800000.0
5574,8386,457807860000.0
5574,8388,1090353950000.0
5574,8390,991580100000.0
5574,8392,884486440000.0
5574,8405,581496140000.0
5574,8483,530763600000.0
5574,8597,530737630000.0
5574,8809,493904900000.0
5574,8968,520336470000.0
5574,8972,540712140000.0
5574,8990,533307230000.0
5574,8993,475370950000.0
5574,8994,458183740000.0
5574,9008,674337400000.0
5574,9015,486206640000.0
5574,9019,473213860000.0
5574,9020,483996430000.0
5574,9022,481205600000.0
5574,9024,484999040000.0
5574,9026,627660900000.0
5574,9028,575996760000.0
5574,9029,483738580000.0
5574,9030,914445760000.0
5574,9032,1095943450000.0
5574,9033,527985250000.0
5574,9036,700246200000.0
5574,9040,688139140000.0
5574,9042,805322360000.0
5574,9044,703630740000.0
5574,9063,560629400000.0
5574,9065,519621050000.0
5574,9070,470910170000.0
5574,9116,472119150000.0
5574,9153,500911080000.0
5574,9196,482497070000.0
5574,9199,623606000000.0
5574,9203,492883180000.0
5574,9205,733336630000.0
5574,9207,580753160000.0
5574,9380,601841660000.0
5574,9383,517518700000.0
5574,9471,594610160000.0
5574,9677,474273840000.0
5574,9694,459334400000.0
5574,9701,501552150000.0
5574,9738,676869800000.0
5574,9787,620218550000.0
5574,9797,509007400000.0
5574,9805,893695030000.0
5574,9806,600175900000.0
5574,9809,1136168800000.0
5574,9810,513984900000.0
5574,9857,485728600000.0
5574,9901,640975440000.0
5574,10064,603227300000.0
5574,10110,624582800000.0
5574,10112,478804900000.0
5574,10123,509482800000.0
5574,10125,985062440000.0
5574,10128,720324200000.0
5574,10130,1049781200000.0
5574,10131,1190430600000.0
5574,10132,1019552460000.0
5574,10133,865945300000.0
5574,10134,1006807740000.0
5574,10135,1540818200000.0
5574,10136,1027655500000.0
5574,10137,586839600000.0
5574,10138,535581130000.0
5574,10139,528657380000.0
5574,10174,543317520000.0
5574,10175,527081140000.0
5574,10177,963169600000.0
5574,10179,565546900000.0
5574,10181,1213125100000.0
5574,10183,1052908500000.0
5574,10185,955417900000.0
5574,10198,801859400000.0
5574,10227,858789050000.0
5574,10276,580145800000.0
5574,10286,511931250000.0
5574,10288,612528200000.0
5574,10290,593425400000.0
5574,10293,458672000000.0
5574,10294,1088213300000.0
