source,target,value
7335,2,38835296000000.0
7335,4,51991250000000.0
7335,5,54435420000000.0
7335,6,85206830000000.0
7335,7,48481553000000.0
7335,12,38185548000000.0
7335,17,67474050000000.0
7335,20,77265150000000.0
7335,21,60877676000000.0
7335,24,160608910000000.0
7335,30,101955430000000.0
7335,31,61600840000000.0
7335,32,91347650000000.0
7335,33,169798360000000.0
7335,38,37286478000000.0
7335,39,40712154000000.0
7335,44,90531140000000.0
7335,45,55065486000000.0
7335,47,67503745000000.0
7335,48,108764390000000.0
7335,49,108408350000000.0
7335,50,140913570000000.0
7335,51,141297950000000.0
7335,52,131290860000000.0
7335,53,199862710000000.0
7335,54,47129104000000.0
7335,55,79110840000000.0
7335,56,76344800000000.0
7335,57,64005603000000.0
7335,58,78504580000000.0
7335,59,403003200000000.0
7335,60,183640600000000.0
7335,61,404909100000000.0
7335,62,406307130000000.0
7335,63,223682790000000.0
7335,64,61593107000000.0
7335,65,78430740000000.0
7335,66,77429696000000.0
7335,67,251361970000000.0
7335,68,113732330000000.0
7335,69,315617380000000.0
7335,70,309022000000000.0
7335,71,232867050000000.0
7335,73,221588080000000.0
7335,74,222171630000000.0
7335,75,63847684000000.0
7335,76,63590954000000.0
7335,77,226076510000000.0
7335,78,225409380000000.0
7335,79,274568890000000.0
7335,81,161949950000000.0
7335,82,195477250000000.0
7335,83,135570525000000.0
7335,84,180936900000000.0
7335,85,147296070000000.0
7335,86,204052900000000.0
7335,87,145661840000000.0
7335,88,110094465000000.0
7335,89,125670120000000.0
7335,90,184712970000000.0
7335,91,56960762000000.0
7335,92,233790740000000.0
7335,93,126184580000000.0
7335,94,62460036000000.0
7335,95,57974820000000.0
7335,97,60358874000000.0
7335,98,65786626000000.0
7335,99,55054707000000.0
7335,100,60256537000000.0
7335,101,80355525000000.0
7335,105,76324370000000.0
7335,106,40101010000000.0
7335,108,57424627000000.0
7335,109,44750132000000.0
7335,110,64411583000000.0
7335,111,68864350000000.0
7335,113,43272170000000.0
7335,114,76505960000000.0
7335,115,121148480000000.0
7335,116,68111273000000.0
7335,117,58504220000000.0
7335,118,39781375000000.0
7335,119,78467375000000.0
7335,120,69529610000000.0
7335,121,287574130000000.0
7335,122,112403110000000.0
7335,124,68361810000000.0
7335,125,49979400000000.0
7335,126,58276415000000.0
7335,129,62717365000000.0
7335,130,53438935000000.0
7335,131,104012650000000.0
7335,133,44505198000000.0
7335,134,53681685000000.0
7335,135,170123120000000.0
7335,142,77706880000000.0
7335,143,80027800000000.0
7335,144,80420690000000.0
7335,145,78710066000000.0
7335,146,77884690000000.0
7335,147,83393950000000.0
7335,148,80881590000000.0
7335,149,78055695000000.0
7335,150,84224220000000.0
7335,151,85358610000000.0
7335,152,77529914000000.0
7335,153,77951550000000.0
7335,155,70121380000000.0
7335,156,70485600000000.0
7335,157,81965475000000.0
7335,158,68018560000000.0
7335,159,87239970000000.0
7335,160,75657790000000.0
7335,161,76977440000000.0
7335,162,71521820000000.0
7335,164,55524230000000.0
7335,165,65667286000000.0
7335,167,109550840000000.0
7335,168,37525465000000.0
7335,169,84887740000000.0
7335,170,68560307000000.0
7335,171,70473630000000.0
7335,172,49538954000000.0
7335,174,188155270000000.0
7335,175,148729680000000.0
7335,176,82618200000000.0
7335,177,97421060000000.0
7335,180,486040040000000.0
7335,181,38603630000000.0
7335,182,297374200000000.0
7335,185,297374200000000.0
7335,186,297374200000000.0
7335,189,297374200000000.0
7335,190,297374200000000.0
7335,191,297374200000000.0
7335,192,297374200000000.0
7335,193,297374200000000.0
7335,194,148607200000000.0
7335,195,201580400000000.0
7335,196,304093700000000.0
7335,201,58671080000000.0
7335,202,45257752000000.0
7335,203,38601990000000.0
7335,205,45593240000000.0
7335,206,41967280000000.0
7335,207,77825240000000.0
7335,208,87827946000000.0
7335,210,97673400000000.0
7335,211,156307010000000.0
7335,212,156047550000000.0
7335,213,145896480000000.0
7335,214,144913900000000.0
7335,215,137370970000000.0
7335,216,145913260000000.0
7335,217,154458260000000.0
7335,218,111466380000000.0
7335,219,83973730000000.0
7335,220,133271920000000.0
7335,221,385029320000000.0
7335,222,383232200000000.0
7335,223,186033860000000.0
7335,224,204647800000000.0
7335,225,203629450000000.0
7335,226,148297960000000.0
7335,227,134982050000000.0
7335,228,127608290000000.0
7335,229,127903140000000.0
7335,230,107018760000000.0
7335,231,113110370000000.0
7335,232,283185180000000.0
7335,233,283109080000000.0
7335,234,325559000000000.0
7335,235,297374200000000.0
7335,236,250130460000000.0
7335,237,244473260000000.0
7335,238,591781930000000.0
7335,239,531298120000000.0
7335,240,386712200000000.0
7335,241,387070740000000.0
7335,242,305839450000000.0
7335,243,297374200000000.0
7335,244,158719980000000.0
7335,245,157234140000000.0
7335,246,80697805000000.0
7335,247,143540290000000.0
7335,248,127374495000000.0
7335,249,149523460000000.0
7335,250,104268410000000.0
7335,251,134981990000000.0
7335,253,169762560000000.0
7335,254,72765660000000.0
7335,255,297374200000000.0
7335,256,81246570000000.0
7335,257,232940030000000.0
7335,258,90015210000000.0
7335,259,90957120000000.0
7335,260,268509500000000.0
7335,261,149213640000000.0
7335,262,238606590000000.0
7335,263,128357090000000.0
7335,264,141439830000000.0
7335,268,88268725000000.0
7335,269,69793680000000.0
7335,270,56730640000000.0
7335,271,56826117000000.0
7335,273,160334530000000.0
7335,274,97684860000000.0
7335,275,48369970000000.0
7335,276,77434490000000.0
7335,277,135379200000000.0
7335,278,127257580000000.0
7335,279,116396460000000.0
7335,280,92015765000000.0
7335,281,88235250000000.0
7335,282,100834640000000.0
7335,283,113895700000000.0
7335,284,360320540000000.0
7335,285,95345766000000.0
7335,286,105690380000000.0
7335,287,115140370000000.0
7335,288,115095730000000.0
7335,289,140474510000000.0
7335,290,57581167000000.0
7335,291,103805790000000.0
7335,292,70281010000000.0
7335,293,89323490000000.0
7335,294,188072260000000.0
7335,295,69239050000000.0
7335,296,61481290000000.0
7335,297,90019370000000.0
7335,298,383458870000000.0
7335,299,55318847000000.0
7335,300,47245135000000.0
7335,301,93713080000000.0
7335,305,55668150000000.0
7335,306,739335900000000.0
7335,307,706479300000000.0
7335,308,667654950000000.0
7335,309,212314240000000.0
7335,310,466540050000000.0
7335,311,360442650000000.0
7335,312,435449500000000.0
7335,313,662846900000000.0
7335,314,555489460000000.0
7335,315,642860030000000.0
7335,316,698545560000000.0
7335,317,297374200000000.0
7335,318,356896100000000.0
7335,319,394174100000000.0
7335,320,415739280000000.0
7335,321,405329100000000.0
7335,322,482278600000000.0
7335,323,487806300000000.0
7335,324,321843740000000.0
7335,325,265840560000000.0
7335,327,38999270000000.0
7335,328,46514050000000.0
7335,330,71799440000000.0
7335,331,69288600000000.0
7335,333,57799216000000.0
7335,338,44843070000000.0
7335,340,73080430000000.0
7335,343,47255200000000.0
7335,345,103447475000000.0
7335,346,108292260000000.0
7335,347,40945910000000.0
7335,348,75647450000000.0
7335,351,561974760000000.0
7335,354,588759800000000.0
7335,355,1391462800000000.0
7335,356,241831090000000.0
7335,357,288285800000000.0
7335,358,71405440000000.0
7335,359,441116400000000.0
7335,360,42275543000000.0
7335,370,92211630000000.0
7335,371,48924606000000.0
7335,373,38284130000000.0
7335,374,91833460000000.0
7335,375,121588220000000.0
7335,376,73157235000000.0
7335,377,72469705000000.0
7335,378,58271096000000.0
7335,379,85811750000000.0
7335,380,58459620000000.0
7335,381,185226520000000.0
7335,382,172813550000000.0
7335,383,86630740000000.0
7335,384,59263137000000.0
7335,385,110103886000000.0
7335,386,111547550000000.0
7335,387,114060070000000.0
7335,388,109616900000000.0
