source,target,value
1821,355,130817970000.0
1821,1113,62014950000.0
1821,1329,99952910000.0
1821,1493,58480103000.0
1821,1496,80573020000.0
1821,1751,45957968000.0
1821,1822,54425215000.0
1821,1823,72443260000.0
1821,2417,108999000000.0
1821,2788,54266647000.0
1821,4571,47135445000.0
1821,4581,63996140000.0
1821,4586,76823500000.0
1821,4589,50628424000.0
1821,4593,68835615000.0
1821,4595,102949930000.0
1821,4596,85836730000.0
1821,4597,83260410000.0
1821,4608,69992070000.0
1821,4612,72315590000.0
1821,4616,49697940000.0
1821,4618,47388844000.0
1821,4621,62146500000.0
1821,4622,69097144000.0
1821,4624,59440160000.0
1821,4627,64077197000.0
1821,4628,88144640000.0
1821,4629,97651860000.0
1821,4631,60733270000.0
1821,4639,48144286000.0
1821,4641,49123410000.0
1821,4645,45821370000.0
1821,4649,54469970000.0
1821,4651,46598164000.0
1821,4654,54365102000.0
1821,4658,53973080000.0
1821,4659,52666524000.0
1821,4660,52336333000.0
1821,4661,51605045000.0
1821,4662,53984834000.0
1821,4663,51172647000.0
1821,4664,51486958000.0
1821,4665,94693286000.0
1821,4666,47041880000.0
1821,4670,52217330000.0
1821,4671,56138710000.0
1821,4672,46018960000.0
1821,4673,125124630000.0
1821,4675,101454860000.0
1821,4677,55792124000.0
1821,4679,56170380000.0
1821,4681,95619604000.0
1821,4682,85620840000.0
1821,4683,74265180000.0
1821,4685,153918310000.0
1821,4686,139012280000.0
1821,4687,56817660000.0
1821,4688,82173395000.0
1821,4689,106465810000.0
1821,4690,75032650000.0
1821,4691,72544390000.0
1821,4692,85510005000.0
1821,4693,142072070000.0
1821,4694,73487204000.0
1821,4695,100304450000.0
1821,4696,239150090000.0
1821,4697,72008640000.0
1821,4698,69553970000.0
1821,4699,129573315000.0
1821,4701,131692610000.0
1821,4703,53195223000.0
1821,4707,111003470000.0
1821,4708,111917140000.0
1821,4709,111794480000.0
1821,4710,106622750000.0
1821,4711,112666460000.0
1821,4712,112508260000.0
1821,4713,98508180000.0
1821,4716,106453975000.0
1821,4717,89678430000.0
1821,4718,111984690000.0
1821,4719,78460410000.0
1821,4720,78545660000.0
1821,4721,110059090000.0
1821,4722,110979105000.0
1821,4723,111712715000.0
1821,4724,110884220000.0
1821,4725,113169310000.0
1821,4726,112285580000.0
1821,4741,53350433000.0
1821,4755,46127050000.0
1821,4798,46369740000.0
1821,4804,54768540000.0
1821,4892,49813455000.0
1821,4893,51673297000.0
