source,target,value
5574,4696,3114803400000.0
11410,30,3787298400000.0
11410,33,3438029300000.0
11410,53,4026688000000.0
11410,59,8085402300000.0
11410,60,3775913800000.0
11410,61,8450431000000.0
11410,62,8478197300000.0
11410,63,4974166700000.0
11410,67,4920685600000.0
11410,69,6647874000000.0
11410,70,6498194300000.0
11410,71,5058161000000.0
11410,73,4312866500000.0
11410,74,4332129400000.0
11410,77,4468550000000.0
11410,78,4485100000000.0
11410,79,5778566000000.0
11410,81,3173597000000.0
11410,82,3325110500000.0
11410,84,3472716200000.0
11410,85,3237511700000.0
11410,86,3640620700000.0
11410,90,3707226600000.0
11410,92,5023381000000.0
11410,121,6844978000000.0
11410,135,3506133500000.0
11410,167,3277729600000.0
11410,174,6184905000000.0
11410,175,5215163500000.0
11410,180,10906795000000.0
11410,182,6246999000000.0
11410,185,6246999000000.0
11410,186,6246999000000.0
11410,189,6246999000000.0
11410,190,6246999000000.0
11410,191,6246999000000.0
11410,192,6246999000000.0
11410,193,6246999000000.0
11410,194,3345800800000.0
11410,195,4325132500000.0
11410,196,6114551300000.0
11410,211,3261496300000.0
11410,212,3257923500000.0
11410,216,3622393000000.0
11410,217,3238628400000.0
11410,220,3115827000000.0
11410,221,7300418400000.0
11410,222,7847470000000.0
11410,223,3903095000000.0
11410,224,4139912300000.0
11410,225,4107765800000.0
11410,226,3251760800000.0
11410,232,5988267600000.0
11410,233,5976577000000.0
11410,234,6904441000000.0
11410,235,6246999000000.0
11410,236,4933372300000.0
11410,237,4831005600000.0
11410,238,12301794000000.0
11410,239,11918499000000.0
11410,240,7542009000000.0
11410,241,7553470000000.0
11410,242,6519393400000.0
11410,243,6246999000000.0
11410,244,3234115400000.0
11410,253,3536159500000.0
11410,255,6246999000000.0
11410,262,5266524300000.0
11410,273,3242567000000.0
11410,284,7923791600000.0
11410,294,4122661000000.0
11410,298,6510709600000.0
11410,306,10486114000000.0
11410,307,10024285000000.0
11410,308,11090628000000.0
11410,309,10216904000000.0
11410,310,8219738000000.0
11410,311,6477079000000.0
11410,312,9059490000000.0
11410,313,13380059000000.0
11410,314,9238504000000.0
11410,315,12271856000000.0
11410,316,13653881000000.0
11410,317,6246999000000.0
11410,318,10022201000000.0
11410,319,7238683000000.0
11410,320,6549452400000.0
11410,321,6581607500000.0
11410,322,6925863400000.0
11410,323,6206862700000.0
11410,324,5523285000000.0
11410,325,5491315000000.0
11410,351,11173723000000.0
11410,354,12854473000000.0
11410,355,32007080000000.0
11410,356,6594412700000.0
11410,357,6722580000000.0
11410,359,8533032600000.0
11410,381,3395232700000.0
11410,382,3218351600000.0
11410,395,4115978500000.0
11410,396,3720025200000.0
11410,400,3121885500000.0
11410,403,12277024000000.0
11410,404,12210784000000.0
11410,405,3359437500000.0
11410,411,3127027200000.0
11410,416,3691508100000.0
11410,461,5149391600000.0
11410,494,4150097300000.0
11410,503,5869494300000.0
11410,548,7184984300000.0
11410,566,3795086200000.0
11410,610,6579282000000.0
11410,619,6536162700000.0
11410,620,3890598400000.0
11410,678,4390880500000.0
11410,702,4956479300000.0
11410,703,4999379000000.0
11410,707,4021963700000.0
11410,708,9523046000000.0
11410,712,3535198000000.0
11410,713,3192218500000.0
11410,714,3207703000000.0
11410,720,7181907300000.0
11410,721,4195751800000.0
11410,722,4206786200000.0
11410,723,3152138500000.0
11410,727,3854855600000.0
11410,728,3900147500000.0
11410,729,6608896700000.0
11410,731,7055922400000.0
11410,736,3311242600000.0
11410,744,3527595800000.0
11410,773,4870224500000.0
11410,827,3126448600000.0
11410,832,3189127500000.0
11410,835,3992530500000.0
11410,838,5793655600000.0
11410,839,4306251800000.0
11410,844,7477812300000.0
11410,846,6261312000000.0
11410,847,5655930300000.0
11410,848,3835163300000.0
11410,863,3389519600000.0
11410,864,3202240200000.0
11410,865,3228990200000.0
11410,866,3250794300000.0
11410,867,3178090200000.0
11410,870,3780509700000.0
11410,872,3467752000000.0
11410,873,3663179800000.0
11410,874,9378755000000.0
11410,875,5473393700000.0
11410,876,8236391000000.0
11410,877,8236064300000.0
11410,878,5019794400000.0
11410,879,6072636500000.0
11410,880,6547044000000.0
11410,881,6536807000000.0
11410,882,5859379000000.0
11410,883,5804766000000.0
11410,884,6675126000000.0
11410,885,6658828300000.0
11410,886,8743079000000.0
