source,target,value
4732,4651,242998360000000.0
4732,4675,723841600000000.0
4732,4677,225740410000000.0
4732,4681,619875300000000.0
4732,4689,441476630000000.0
4732,4690,220952800000000.0
4732,4693,1236420000000000.0
4732,4696,2151637400000000.0
4732,4698,315905150000000.0
4732,4701,921422760000000.0
4732,4838,266361960000000.0
4732,4864,306669900000000.0
4732,4934,250499870000000.0
4732,4936,233110840000000.0
4732,4972,378432320000000.0
4732,4974,256073940000000.0
4732,4977,241916350000000.0
4732,5001,1630877200000000.0
4732,5007,211582220000000.0
4732,5019,265746500000000.0
4732,5022,665450560000000.0
4732,5024,295050230000000.0
4732,5026,477422660000000.0
4732,5027,478750000000000.0
4732,5653,251336030000000.0
5574,902,229964850000000.0
5574,926,323957570000000.0
5574,944,357504400000000.0
5574,947,297266830000000.0
5574,952,374053370000000.0
5574,1741,343077520000000.0
5574,1759,281820650000000.0
5574,1762,242926350000000.0
5574,1767,337861960000000.0
5574,2574,207965490000000.0
5574,4512,269430970000000.0
5574,4530,381267070000000.0
5574,4533,234523990000000.0
5574,4537,260774930000000.0
5574,4538,301036140000000.0
5574,4606,365011760000000.0
5574,4618,275661770000000.0
5574,4651,545359980000000.0
5574,4652,225501800000000.0
5574,4655,243883850000000.0
5574,4675,1624514000000000.0
5574,4677,506628030000000.0
5574,4679,236883540000000.0
5574,4681,1391183000000000.0
5574,4683,248794690000000.0
5574,4689,990803800000000.0
5574,4690,495883230000000.0
5574,4691,378645830000000.0
5574,4693,2774891000000000.0
5574,4696,4828909000000000.0
5574,4698,708984300000000.0
5574,4700,363624100000000.0
5574,4701,2067944300000000.0
5574,4702,243325280000000.0
5574,4703,364560400000000.0
5574,4704,299388550000000.0
5574,4809,252812030000000.0
5574,4814,250306900000000.0
5574,4838,597794750000000.0
5574,4844,415584930000000.0
5574,4863,275072220000000.0
5574,4864,688257700000000.0
5574,4934,562195580000000.0
5574,4936,523169460000000.0
5574,4972,849313740000000.0
5574,4973,256633910000000.0
5574,4974,574705400000000.0
5574,4975,350725520000000.0
5574,4977,542931600000000.0
5574,4978,317657260000000.0
5574,5001,3660169300000000.0
5574,5004,348748630000000.0
5574,5005,278024490000000.0
5574,5007,474852900000000.0
5574,5014,256772200000000.0
5574,5017,397915000000000.0
5574,5019,596413500000000.0
5574,5022,1493467200000000.0
5574,5024,662179740000000.0
5574,5026,1071477240000000.0
5574,5027,1074456200000000.0
5574,5028,319666900000000.0
5574,5029,227839040000000.0
5574,5030,378422560000000.0
5574,5164,265943670000000.0
5574,5185,368707980000000.0
5574,5327,253528700000000.0
5574,5348,215617510000000.0
5574,5511,244618120000000.0
5574,5653,564072200000000.0
5574,5671,202976650000000.0
5574,5674,279041710000000.0
5574,5979,224483200000000.0
5574,6957,331895000000000.0
16140,4696,246852440000000.0
18112,111,202681700000000.0
18112,274,246671310000000.0
18112,292,214227280000000.0
18112,300,226619470000000.0
18112,857,337780860000000.0
18112,897,727076560000000.0
18112,899,204048750000000.0
18112,902,959751240000000.0
18112,906,213948310000000.0
18112,926,1352027000000000.0
18112,928,314637300000000.0
18112,932,607379400000000.0
18112,938,207224940000000.0
18112,940,471529360000000.0
18112,941,318174200000000.0
18112,942,272576400000000.0
18112,944,1492033700000000.0
18112,946,404906570000000.0
18112,947,1240634000000000.0
18112,951,836074500000000.0
18112,952,1561100200000000.0
18112,953,395977800000000.0
18112,954,308246380000000.0
18112,955,238145370000000.0
18112,1391,232274500000000.0
18112,1421,829057000000000.0
18112,1435,346814250000000.0
18112,1436,437434500000000.0
18112,1440,372727160000000.0
18112,1441,536759540000000.0
18112,1443,243143580000000.0
18112,1717,392537860000000.0
18112,1741,1431823600000000.0
